FID,ogc_fid,bld_pid,dt_create,dt_mod,capt_date,bld_rv_dt,bld_src,qual_class,loc_pid,state,add_count,sp_adj,sp_rv_dt,solar_p,solp_rv_dt,plan_zone,roof_hgt,eave_hgt,grd_elev,grd_el_src,pr_rf_mat,roof_type,roof_clr,mb_code,num_vert,area,volume,bld_gm_qlt,cntrd_long,cntrd_lat,est_lev,roof_shape,tree_overh,wkb_geometry
geoscape_melbourne_buildings_jun22.2458729,2458729,bld144d516c16af,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,12.68,12.68,28.51,5m,Flat Concrete,Flat,#484745,20664610000,7,186.28,2362.87,,144.96984,-37.80846,4,Flat,No,"POLYGON ((-37.808496369000004 144.96995374300002, -37.808525263 144.969854018, -37.808507858000006 144.96984601, -37.808494356000004 144.96981868700001, -37.808513834 144.969751445, -37.80844367 144.969719166, -37.808389915 144.969904761, -37.808496369000004 144.96995374300002))"
geoscape_melbourne_buildings_jun22.2458763,2458763,bld801cf07d1aed,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,42,No,2021-04-04,No,2021-04-04,Special Use,20.55,18.85,30.62,5m,Flat Concrete,Moderate pitch or complexity,#DCDCDC,20394000000,5,61.8,1269.99,,144.97193,-37.81062,6,Hipped,No,"POLYGON ((-37.810599278000005 144.972021844, -37.810618588000004 144.972030573, -37.810669279 144.971852645, -37.810637798 144.971838399, -37.810587108 144.972016327, -37.810599278000005 144.972021844))"
geoscape_melbourne_buildings_jun22.2458894,2458894,blde9267a4026c2,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,173,No,2021-04-04,No,2021-04-04,Special Use,39.05,39.05,28.98,5m,Flat Concrete,Flat,#EEE8DA,20394010000,8,68.22,2642.44,,144.97155,-37.81095,13,Flat,No,"POLYGON ((-37.810994667 144.97149376000002, -37.810955699000004 144.971465429, -37.810944022 144.971506414, -37.810919548 144.971592321, -37.810912079000005 144.971618538, -37.81095375 144.971637401, -37.810961219 144.971611184, -37.810985693 144.971525265, -37.810994667 144.97149376000002))"
geoscape_melbourne_buildings_jun22.2458967,2458967,bld5b2ecad3aa9b,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,63,No,2021-04-04,No,2021-04-04,Special Use,31.2,31.2,27.85,5m,Flat Concrete,Flat,#BAAE92,20394060000,4,12.07,376.45,,144.97091,-37.81003,10,Flat,No,"POLYGON ((-37.810040077000004 144.970942482, -37.810055680000005 144.970887748, -37.810035698 144.97087869700002, -37.810020104 144.970933441, -37.810040077000004 144.970942482))"
geoscape_melbourne_buildings_jun22.2459001,2459001,bld4047ca627c0d,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,30.31,30.31,32.12,5m,Flat Concrete,Flat,#D6D6CB,20394000000,4,346.75,10510.17,,144.97235,-37.81084,10,Flat,No,"POLYGON ((-37.81087569 144.972498741, -37.810943174 144.972261855, -37.810810514 144.97220180600002, -37.810743030000005 144.972438691, -37.81087569 144.972498741))"
geoscape_melbourne_buildings_jun22.2459095,2459095,bldb2db565e0fda,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,18,No,2021-04-04,No,2021-04-04,Special Use,18.06,16.46,26.36,5m,Flat Concrete,Moderate pitch or complexity,#EDEFE4,20394050000,4,135.74,2451.48,,144.97049,-37.81009,5,Hipped,No,"POLYGON ((-37.810119991 144.970578367, -37.810156828000004 144.97044906000002, -37.810061688000005 144.970406002, -37.810024851 144.970535309, -37.810119991 144.970578367))"
geoscape_melbourne_buildings_jun22.2459106,2459106,bld9d49c4447d88,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,245,No,2021-04-04,No,2021-04-04,Special Use,66.11,66.11,33.11,5m,Flat Concrete,Flat,#323437,20393700000,6,21.47,1419.58,,144.9712,-37.8084,22,Flat,No,"POLYGON ((-37.808456116 144.971240241, -37.808459544 144.971228413, -37.808427324 144.97121359800002, -37.808431466 144.971199286, -37.808371849000004 144.971171851, -37.808364279 144.971197979, -37.808456116 144.971240241))"
geoscape_melbourne_buildings_jun22.2459127,2459127,blda113a57b4658,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,3,No,2021-04-04,No,2021-04-04,Special Use,15.89,14.59,22.84,5m,Flat Concrete,Moderate pitch or complexity,#D6DAD2,20393843000,5,175.4,2786.64,,144.96973,-37.81079,5,Hipped,No,"POLYGON ((-37.810847283 144.969823278, -37.810880675 144.969709534, -37.810741913 144.969644807, -37.810738066 144.969657896, -37.810708512000005 144.96975855000002, -37.810847283 144.969823278))"
geoscape_melbourne_buildings_jun22.2459137,2459137,bld1a0db8ae9935,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,0,No,2021-04-04,No,2021-04-04,,9.53,9.53,22.98,5m,Flat Concrete,Flat,#E5E5DF,20393843000,9,211.78,2017.94,,144.96983,-37.81083,3,Flat,No,"POLYGON ((-37.811102741 144.96998119, -37.811112751 144.9699471, -37.811054817000006 144.969920085, -37.810847283 144.969823278, -37.810708512000005 144.96975855000002, -37.81057939 144.96969833, -37.810570972 144.969727014, -37.810562795 144.969723206, -37.81056031 144.96973168, -37.811102741 144.96998119))"
geoscape_melbourne_buildings_jun22.2459140,2459140,bldbeff61937236,2022-03-11,,2021-04-04,2021-04-04,7.5cm aerial,Urban,loc9901d119afda,VIC,13,No,2021-04-04,No,2021-04-04,Special Use,21.34,21.34,21.22,5m,Flat Concrete,Flat,#353431,20393841000,4,14.34,306.01,,144.96925,-37.81059,6,Flat,No,"POLYGON ((-37.810609333 144.969284783, -37.810621156 144.96924451, -37.810589104 144.969229565, -37.810577282000004 144.969269838, -37.810609333 144.969284783))"
