FID,block_id,census_year,clue_small_area,commercial_accommodation,common_area,community_use,educational_research,entertainment_recreation_indoor,equipment_installation,hospital_clinic,house_townhouse,institutional_accommodation,manufacturing,office,park_reserve,parking_commercial_covered,parking_commercial_uncovered,parking_private_covered,parking_private_uncovered,performances_conferences_ceremonies,private_outdoor_space,public_display_area,residential_apartment,retail_cars,retail_shop,retail_showroom,retail_stall,sports_and_recreation_outdoor,square_promenade,storage,student_accommodation,total_space_in_block,transport,transport_storage_uncovered,unoccupied_under_construction,unoccupied_under_demolition_condemned,unoccupied_under_renovation,unoccupied_undeveloped_site,unoccupied_unused,wholesale,workshop_studio,wkb_geometry
com_clue_floor_use_block_2016.662,662,2016,East Melbourne,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10076,,0,0,0,0,,0,0,0,"MULTIPOLYGON (((-37.81761280329104 144.98995535726976, -37.817498192614224 144.98881475567057, -37.81743525351291 144.98882542132947, -37.817346713273935 144.9878969844568, -37.81707112652522 144.98794102295108, -37.81703107740836 144.98758234672312, -37.81679144739936 144.98543645052794, -37.81679564151859 144.9854357151158, -37.81676327598361 144.9851485341753, -37.81682443660657 144.9851378105022, -37.81653785773245 144.98256026682995, -37.81639085194032 144.98258718532995, -37.81609385151066 144.9826415713614, -37.81637948182137 144.9851964458714, -37.81639924934593 144.98537104988287, -37.816473184820765 144.98605424906881, -37.81647605323195 144.98607753492254, -37.81665425375571 144.98764302519805, -37.81665402306537 144.9877992696348, -37.816653709607436 144.98801085713714, -37.816887224639025 144.99008508650945, -37.8175252277798 144.98997516372262, -37.81761280329104 144.98995535726976)))"
com_clue_floor_use_block_2016.1112,1112,2016,Docklands,,13539,0,0,216,0,0,0,0,0,329,0,0,0,11777,0,,17074,0,32127,0,,0,0,0,0,0,0,79537.9921875,0,0,0,,0,0,,0,0,"MULTIPOLYGON (((-37.82336946617084 144.94792303695831, -37.82250880341081 144.9476988192699, -37.82260109604955 144.9496147590175, -37.82253030493959 144.95014641070907, -37.82227046211058 144.9510424146238, -37.82208152064655 144.95169392616435, -37.82253905456073 144.95190493129044, -37.822553667374194 144.95192199215572, -37.82256600573648 144.95194170160732, -37.82257577209422 144.95196358390345, -37.82258273103753 144.95198710932402, -37.82258671229847 144.952011711129, -37.822587621698425 144.9520367932084, -37.822430930264105 144.95257661404847, -37.822409523335004 144.9525667413132, -37.82230524634312 144.95292598189664, -37.82245001215685 144.95299276696568, -37.82248207896046 144.9530075598591, -37.82250153854629 144.95294051992417, -37.82302739708472 144.95318209938543, -37.82303205629152 144.95316598600712, -37.82321473621459 144.95324993490993, -37.823229475382426 144.95319859026185, -37.82314746899721 144.95316175546273, -37.823143300502736 144.95196147287785, -37.82364740164818 144.95219395781817, -37.82363180399277 144.95097236824898, -37.823383796692774 144.9480895887926, -37.82336946617084 144.94792303695831)))"
com_clue_floor_use_block_2016.6,6,2016,Melbourne (CBD),0,15020,0,0,6645,,0,0,0,0,3735,0,12905,0,0,0,9268,,10813,0,0,2180,0,0,0,32911,0,0,100343.2265625,0,0,0,0,0,0,0,0,2532,"MULTIPOLYGON (((-37.81909387846127 144.97140475559115, -37.81922045406143 144.96824653356234, -37.817464744736455 144.96743801558117, -37.81674238675368 144.9699102385508, -37.816008333395324 144.9723816490449, -37.81637384991775 144.97257340916482, -37.81666671090871 144.97278089288537, -37.817249081246025 144.97322654004842, -37.81726889483273 144.9732561383287, -37.817354611998006 144.97339048031924, -37.81749895150572 144.97329853129267, -37.81767211968285 144.9727637297199, -37.81764482047313 144.9727354733566, -37.81775758832494 144.97226184439944, -37.81774887797034 144.97225893831092, -37.81799079625244 144.9711070010843, -37.8180464867868 144.9709169353862, -37.81909387846127 144.97140475559115)))"
com_clue_floor_use_block_2016.927,927,2016,Parkville,0,6061,0,0,0,0,0,5032,,0,0,,0,0,5920,0,0,18068,0,23374,0,0,0,0,0,0,0,0,60551.33984375,0,0,0,0,0,,0,0,0,"MULTIPOLYGON (((-37.786628712217954 144.94261534355684, -37.78694153994476 144.94199295353206, -37.786895468661136 144.94198596624494, -37.786657266498835 144.9419498384121, -37.78680351178407 144.94150382650372, -37.786731735331465 144.9414931277299, -37.78701702178982 144.94092770522977, -37.78740311908289 144.94021773879334, -37.787193102155285 144.94007194234538, -37.787060168823736 144.93997132218774, -37.78694308560269 144.94021061971313, -37.78691344859109 144.9402463270999, -37.786870172884946 144.94028943864376, -37.786823465664696 144.94032642843, -37.78677386918206 144.9403568692143, -37.78672196026604 144.9403804043337, -37.786668342454135 144.94039676155091, -37.78661363872654 144.9404057498487, -37.78655848441934 144.94040726643897, -37.78650352176013 144.94040129350694, -37.786449389059364 144.94038789851038, -37.7863967144844 144.94036723889354, -37.7851101598418 144.93979293654493, -37.78386248669192 144.93938646167416, -37.783814119488895 144.94013516202463, -37.783669885717806 144.94024669617704, -37.78344577513267 144.94069203673553, -37.78431635351696 144.94159895772046, -37.7855284969422 144.94178064372008, -37.78551818930171 144.94188981648188, -37.786263741396674 144.94219124641174, -37.786412673567405 144.9423293826911, -37.78635806458778 144.9424276252523, -37.78643352555236 144.9424955640339, -37.786628712217954 144.94261534355684)))"
com_clue_floor_use_block_2016.926,926,2016,Parkville,0,236,0,0,0,0,0,1778,0,0,0,0,0,0,,0,0,3001,0,926,0,0,0,0,0,0,0,0,9127.59960938,0,0,0,0,0,,0,0,0,"MULTIPOLYGON (((-37.787565931994955 144.94213603240695, -37.78846356967187 144.94100087779762, -37.78843968267018 144.94097090493514, -37.7882599515207 144.94081536327266, -37.788025998599366 144.9406501551141, -37.78761572755634 144.94036533544656, -37.78740311908289 144.94021773879334, -37.78701702178982 144.94092770522977, -37.786731735331465 144.9414931277299, -37.78680351178407 144.94150382650372, -37.786657266498835 144.9419498384121, -37.786895468661136 144.94198596624494, -37.78694153994476 144.94199295353206, -37.78752351835996 144.94208122158142, -37.787565931994955 144.94213603240695)))"
com_clue_floor_use_block_2016.925,925,2016,Parkville,1973,1315,0,0,0,0,0,5222,0,0,0,0,0,0,1112,0,0,5057,0,2284,0,0,0,0,0,0,0,0,16961.66015625,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.787565931994955 144.94213603240695, -37.78839783418324 144.9431901998653, -37.78955080771569 144.94236512682895, -37.7893851423588 144.94215724869704, -37.78846356967187 144.94100087779762, -37.787565931994955 144.94213603240695)))"
com_clue_floor_use_block_2016.924,924,2016,Parkville,0,837,0,0,0,0,0,3704,0,0,0,0,0,0,335,0,0,5970,0,3097,0,0,0,0,0,0,0,0,13943.3203125,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.787565931994955 144.94213603240695, -37.78752351835996 144.94208122158142, -37.78694153994476 144.94199295353206, -37.786628712217954 144.94261534355684, -37.786823898793806 144.94273512482712, -37.78694792166022 144.94285978604267, -37.78718068242834 144.94308038338772, -37.78729151696978 144.94318542724693, -37.787848837788395 144.94371363325857, -37.78838240649871 144.94333229055502, -37.78839783418324 144.9431901998653, -37.787565931994955 144.94213603240695)))"
com_clue_floor_use_block_2016.930,930,2016,Parkville,0,14921,0,70176,,0,,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,196786.984375,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.7787229075865 144.9425926937105, -37.77893323413647 144.94435661785505, -37.77888661188723 144.94514261968115, -37.779329190973556 144.94870390255662, -37.77934079288728 144.94877221504242, -37.77935833134925 144.9488384877444, -37.77938158848674 144.94890190466256, -37.77941027854502 144.94896168459712, -37.77942236257194 144.9489594146919, -37.77942193480358 144.94895824114766, -37.781412430697905 144.94857383410368, -37.782081523310424 144.94733189179445, -37.781911960434705 144.94687871571261, -37.78186740576439 144.94631288675976, -37.78175764807194 144.94588599508813, -37.78137294442767 144.9463749375775, -37.78086389129434 144.94715758811006, -37.78045000846393 144.94742980129533, -37.78008317282673 144.94751976826248, -37.77977981191113 144.94770548460662, -37.77936516492319 144.94825500251287, -37.77932411314267 144.94792489456563, -37.779810763522 144.94736290903532, -37.78059542574737 144.94690837851928, -37.78153989438812 144.9458277952248, -37.78158192188257 144.94539804836904, -37.7816578057373 144.94462205994202, -37.78163586870977 144.94373781633718, -37.781637036433914 144.9426242794095, -37.78182026170443 144.94201682160397, -37.7787229075865 144.9425926937105)))"
com_clue_floor_use_block_2016.928,928,2016,Parkville,0,10606,,3120,,0,0,47534,10380,0,,26244,0,0,9136,,0,89778,0,57895,0,0,0,0,,0,0,0,272774.84375,0,0,12437,0,0,,,0,0,"MULTIPOLYGON (((-37.7787229075865 144.9425926937105, -37.78182026170443 144.94201682160397, -37.78211502188287 144.9417756440842, -37.78182151317288 144.94140877136277, -37.78168437717816 144.9412512457062, -37.78169180188931 144.9410154361704, -37.78178372188766 144.94097352273693, -37.78174305488694 144.94005091934773, -37.78177151104804 144.9399428546857, -37.78238847408292 144.93913179685535, -37.782055429045776 144.93906778773047, -37.78166986250591 144.93899368609905, -37.78126127684068 144.93886688518012, -37.78045611659468 144.93852383063654, -37.77896756399404 144.937659652055, -37.77797222065697 144.93714294724523, -37.777786930204954 144.93707974143973, -37.77789437588265 144.93795727172014, -37.77758751087052 144.93782293764485, -37.77735016672782 144.93773218179942, -37.777249101856256 144.93769483459653, -37.7771804879013 144.93766971052474, -37.777173567797796 144.93768716053896, -37.7771670487325 144.93770512621796, -37.777101304896625 144.93778628074384, -37.77704582702879 144.93784719566915, -37.77697325702361 144.9379268774396, -37.776863458450805 144.93803636607524, -37.776749890443675 144.93813655372918, -37.77667277856137 144.93817455006933, -37.776595625263106 144.93821244643004, -37.77653924005415 144.9382254518574, -37.7764828341524 144.9382384078818, -37.77638251704477 144.93829515203663, -37.77628715644315 144.93836425638065, -37.77621127360095 144.93840528582268, -37.77612345020471 144.938492865061, -37.77600969809992 144.93853492809797, -37.775792491291064 144.93858917132994, -37.77571036102564 144.9386147831325, -37.77562700254593 144.9386373624088, -37.77557431680236 144.93867607445716, -37.77544812812966 144.93876879638896, -37.77595833775403 144.94293666952987, -37.77597874526041 144.94310496659787, -37.7787229075865 144.9425926937105)))"
com_clue_floor_use_block_2016.929,929,2016,Parkville,0,10572,0,0,,,30185,,16241,0,993,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,176403,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-37.7787229075865 144.9425926937105, -37.77597874526041 144.94310496659787, -37.77601305768707 144.94338794231828, -37.77675065086593 144.94946132487888, -37.77941027854502 144.94896168459712, -37.77938158848674 144.94890190466256, -37.77935833134925 144.9488384877444, -37.77934079288728 144.94877221504242, -37.779329190973556 144.94870390255662, -37.77888661188723 144.94514261968115, -37.77893323413647 144.94435661785505, -37.7787229075865 144.9425926937105)))"
