Attribute,Data Type,Description,Primary Key,Mandatory,10 Character Alias
address_count,number (5),Total number of addresses related to a building.,No,Yes,ADD_COUNT
swimming_pool_adjacent,character string (3),Indicates whether a swimming pool is on a property related to the building.,No,No,SP_ADJ
solar_panel,character string (3),Describes whether a visible photovoltaic solar panel is identified for the building.,No,No,SOLAR_P
planning_zone,character string (30),The planning zone type assigned to a building through linkage with the Geoscape Planning.,No,No,PLAN_ZONE
roof_height,"number (7,2)",The height of the building.,No,No,ROOF_HGT
eave_height,"number (7,2)",The average height of the part of a buildings roof that meets or overhangs the walls (eave).,No,No,EAVE_HGT
ground_elevation,"number (7,2)",The elevation of the ground at the centroid of the building.,No,No,GRD_ELEV
primary_roof_material,character string (20),The material that the roof is primarily made from.,No,No,PR_RF_MAT
roof_type,character string (30),Indicative shape of the roof of the building.,No,No,ROOF_TYPE
roof_colour,character string (7),The measured Red/Green/Blue (RGB) colour value in hexadecimal format (#rrggbb) for the primary_roof_material of the building.,No,No,ROOF_CLR
*mesh_block_code,character string (11),The 2016 Australian Bureau of Statistics (ABS) Mesh Block that the building is primarily within.,No,No,MB_CODE
number_vertices,number (5),The number of vertices for the building geometry.,No,Yes,NUM_VERT
area,"number (10,2)",The area in square metres of the building geometry.,No,Yes,AREA
volume,"number (10,2)",The volume of the polygon in cubic metres.,No,No,VOLUME
centroid_longitude,"number (9,6)",The longitude of the building centroid.,No,Yes,CNTRD_LONG
centroid_latitude,"number (9,6)",The latitude of the building centroid.,No,Yes,CNTRD_LAT
estimated_levels,number (3),The estimated number of levels for the building.,No,No,EST_LEV
roof_shape,character string (7),"The shape of the aerial building’s roof (e.g. ‘Hipped’, ‘Gabled’, ‘Flat’ etc.) in line with the CityGML standard.",No,No,ROOF_SHAPE
tree_overhang,character string (3),Provides an attribute that describes whether an identified tree overhangs the aerial building geometry. A ‘Yes’ value is used where a tree overhangs the building and a ‘No’ value is used where there is no tree overhanging the building.,No,No,TREE_OVERH
geometry,Polygon,"The geometry field for the buildings table, which represents the building polygon (including ground level elevation values for all vertices).",No,Yes,GEOMETRY
